Cursor position: x=142, y=169
Cursor position: x=148, y=168
Cursor position: x=137, y=169
Cursor position: x=136, y=169
Cursor position: x=140, y=165
Cursor position: x=138, y=168
Cursor position: x=139, y=307
Cursor position: x=139, y=307
Cursor position: x=130, y=307
Cursor position: x=121, y=307
Cursor position: x=118, y=306
Cursor position: x=113, y=306
Cursor position: x=113, y=305
Cursor position: x=112, y=305
Cursor position: x=112, y=306
Cursor position: x=113, y=306
Cursor position: x=114, y=307
Cursor position: x=115, y=308
Cursor position: x=116, y=308
Cursor position: x=117, y=308
Cursor position: x=118, y=308
Cursor position: x=119, y=308
Cursor position: x=120, y=308
Cursor position: x=121, y=309
Cursor position: x=122, y=309
Cursor position: x=124, y=310
Cursor position: x=126, y=310
Cursor position: x=128, y=310
Cursor position: x=132, y=311
Cursor position: x=134, y=311
Cursor position: x=135, y=311
Cursor position: x=137, y=312
Cursor position: x=139, y=312
Cursor position: x=138, y=312
Cursor position: x=140, y=313
Cursor position: x=140, y=314
Cursor position: x=141, y=314
Cursor position: x=144, y=315
Cursor position: x=144, y=316
Cursor position: x=145, y=316
Cursor position: x=146, y=317
Cursor position: x=147, y=317
Cursor position: x=148, y=317
Cursor position: x=149, y=317
Cursor position: x=726, y=381
Cursor position: x=725, y=380
Cursor position: x=726, y=381
Cursor position: x=724, y=379
Cursor position: x=723, y=377
Cursor position: x=719, y=375
Cursor position: x=714, y=373
Cursor position: x=706, y=368
Cursor position: x=695, y=363
Cursor position: x=685, y=358
Cursor position: x=676, y=356
Cursor position: x=653, y=345
Cursor position: x=640, y=344
Cursor position: x=625, y=339
Cursor position: x=608, y=333
Cursor position: x=590, y=329
Cursor position: x=570, y=321
Cursor position: x=551, y=314
Cursor position: x=531, y=309
Cursor position: x=518, y=305
Cursor position: x=502, y=301
Cursor position: x=491, y=297
Cursor position: x=482, y=294
Cursor position: x=475, y=291
Cursor position: x=469, y=287
Cursor position: x=465, y=285
Cursor position: x=463, y=282
Cursor position: x=462, y=280
Cursor position: x=461, y=278
Cursor position: x=461, y=276
Cursor position: x=461, y=275
Cursor position: x=461, y=273
Cursor position: x=461, y=272
Cursor position: x=460, y=270
Cursor position: x=460, y=268
Cursor position: x=458, y=265
Cursor position: x=459, y=267
Cursor position: x=457, y=263
Cursor position: x=456, y=261
Cursor position: x=454, y=258
Cursor position: x=452, y=257
Cursor position: x=452, y=256
Cursor position: x=451, y=253
Cursor position: x=449, y=251
Cursor position: x=448, y=249
Cursor position: x=446, y=245
Cursor position: x=440, y=238
Cursor position: x=444, y=242
Cursor position: x=436, y=233
Cursor position: x=426, y=223
Cursor position: x=413, y=214
Cursor position: x=406, y=210
Cursor position: x=400, y=207
Cursor position: x=393, y=205
Cursor position: x=386, y=203
Cursor position: x=381, y=201
Cursor position: x=370, y=201
Cursor position: x=361, y=199
Cursor position: x=355, y=199
Cursor position: x=342, y=197
Cursor position: x=332, y=196
Cursor position: x=324, y=196
Cursor position: x=316, y=196
Cursor position: x=307, y=196
Cursor position: x=298, y=197
Cursor position: x=272, y=198
Cursor position: x=280, y=198
Cursor position: x=288, y=198
Cursor position: x=267, y=199
Cursor position: x=260, y=201
Cursor position: x=252, y=204
Cursor position: x=245, y=205
Cursor position: x=238, y=208
Cursor position: x=231, y=209
Cursor position: x=226, y=210
Cursor position: x=221, y=213
Cursor position: x=226, y=210
Cursor position: x=214, y=214
Cursor position: x=210, y=217
Cursor position: x=205, y=218
Cursor position: x=198, y=221
Cursor position: x=202, y=221
Cursor position: x=198, y=221
Cursor position: x=196, y=224
Cursor position: x=195, y=226
Cursor position: x=194, y=229
Cursor position: x=193, y=229
Cursor position: x=193, y=230
Cursor position: x=193, y=231
Cursor position: x=193, y=232
Cursor position: x=193, y=233
Cursor position: x=192, y=237
Cursor position: x=193, y=236
Cursor position: x=192, y=240
Cursor position: x=192, y=241
Cursor position: x=192, y=242
Cursor position: x=192, y=245
Cursor position: x=192, y=247
Cursor position: x=192, y=248
Cursor position: x=193, y=249
Cursor position: x=194, y=250
Cursor position: x=194, y=252
Cursor position: x=195, y=252
Cursor position: x=195, y=253
Cursor position: x=195, y=254
Cursor position: x=195, y=255
Cursor position: x=195, y=256
Cursor position: x=195, y=257
Cursor position: x=197, y=259
Cursor position: x=196, y=258
Cursor position: x=198, y=259
Cursor position: x=199, y=259
Cursor position: x=200, y=259
Cursor position: x=200, y=260
Cursor position: x=200, y=261
Cursor position: x=201, y=262
Cursor position: x=201, y=263
Cursor position: x=203, y=266
Cursor position: x=204, y=271
Cursor position: x=206, y=275
Cursor position: x=208, y=280
Cursor position: x=210, y=284
Cursor position: x=211, y=289
Cursor position: x=211, y=293
Cursor position: x=212, y=297
Cursor position: x=213, y=300
Cursor position: x=215, y=304
Cursor position: x=216, y=309
Cursor position: x=215, y=305
Cursor position: x=216, y=311
Cursor position: x=216, y=312
Cursor position: x=217, y=313
Cursor position: x=219, y=313
Cursor position: x=219, y=314
Cursor position: x=220, y=314
Cursor position: x=224, y=315
Cursor position: x=228, y=317
Cursor position: x=234, y=317
Cursor position: x=243, y=317
Cursor position: x=252, y=319
Cursor position: x=260, y=321
Cursor position: x=269, y=321
Cursor position: x=278, y=321
Cursor position: x=284, y=321
Cursor position: x=292, y=321
Cursor position: x=298, y=320
Cursor position: x=302, y=317
Cursor position: x=309, y=312
Cursor position: x=315, y=308
Cursor position: x=320, y=301
Cursor position: x=324, y=295
Cursor position: x=325, y=285
Cursor position: x=325, y=277
Cursor position: x=325, y=273
Cursor position: x=324, y=269
Cursor position: x=320, y=265
Cursor position: x=316, y=261
Cursor position: x=312, y=259
Cursor position: x=307, y=256
Cursor position: x=302, y=255
Cursor position: x=299, y=253
Cursor position: x=296, y=253
Cursor position: x=291, y=253
Cursor position: x=293, y=253
Cursor position: x=289, y=253
Cursor position: x=287, y=254
Cursor position: x=283, y=257
Cursor position: x=280, y=261
Cursor position: x=276, y=267
Cursor position: x=274, y=272
Cursor position: x=273, y=276
Cursor position: x=272, y=281
Cursor position: x=271, y=282
Cursor position: x=271, y=285
Cursor position: x=270, y=286
Cursor position: x=271, y=286
Cursor position: x=272, y=285
Cursor position: x=275, y=284
Cursor position: x=276, y=283
Cursor position: x=276, y=281
Cursor position: x=277, y=281
Cursor position: x=277, y=281
Cursor position: x=277, y=279
Cursor position: x=277, y=280
Cursor position: x=277, y=278
Cursor position: x=277, y=276
Cursor position: x=277, y=274
Cursor position: x=277, y=273
Cursor position: x=278, y=273
Cursor position: x=278, y=271
Cursor position: x=279, y=271
Cursor position: x=280, y=271
Cursor position: x=280, y=270
Cursor position: x=281, y=270
Cursor position: x=282, y=270
Cursor position: x=283, y=270
Cursor position: x=289, y=269
Cursor position: x=289, y=268
Cursor position: x=290, y=268
Cursor position: x=291, y=267
Cursor position: x=292, y=266
Cursor position: x=294, y=266
Cursor position: x=295, y=265
Cursor position: x=296, y=264
Cursor position: x=297, y=264
Cursor position: x=283, y=269
